Priority,Priority
"URL Pattern","URL Pattern"
"Meta Robots Directives","Meta Robots Directives"
"Add Rule","Add Rule"
"X-Robots-Tag Directives","X-Robots-Tag Directives"
"Invalid directives: %1","Invalid directives: %1"
"Invalid meta directives for pattern ""%1"": %2","Invalid meta directives for pattern ""%1"": %2"
"Invalid X-Robots directives for pattern ""%1"": %2","Invalid X-Robots directives for pattern ""%1"": %2"
"No restrictions for indexing or serving (Equivalent to index, follow)","No restrictions for indexing or serving (Equivalent to index, follow)"
"Allow different indexing","Allow different indexing"
"Follow links on this page","Follow links on this page"
"Do not show this page in search results","Do not show this page in search results"
"Do not follow links on this page","Do not follow links on this page"
"Equivalent to noindex, nofollow","Equivalent to noindex, nofollow"
"Do not show a cached link in search results","Do not show a cached link in search results"
"Do not show a text snippet or video preview","Do not show a text snippet or video preview"
"Maximum text length of snippet","Maximum text length of snippet"
"Enter character count","Enter character count"
"Maximum size of image preview","Maximum size of image preview"
"Maximum video preview duration in seconds","Maximum video preview duration in seconds"
"Enter seconds (-1 for no limit)","Enter seconds (-1 for no limit)"
"Do not index images on this page","Do not index images on this page"
"Do not offer translation of this page","Do not offer translation of this page"
"Do not show after specified date/time","Do not show after specified date/time"
"Allow indexing when embedded via iframe","Allow indexing when embedded via iframe"
"Add directives...","Add directives..."
"No available directives","No available directives"
Add,Add
"all bots","all bots"
"Enable SEO Robots Management","Enable SEO Robots Management"
"Meta Robots Tag Rules","Meta Robots Tag Rules"
"Configure meta robots directives per URL pattern. If multiple patterns match, highest priority wins.","Configure meta robots directives per URL pattern. If multiple patterns match, highest priority wins."
"Robots Directives for 404 Pages","Robots Directives for 404 Pages"
"Add robots to '?p=' to paginated content","Add robots to '?p=' to paginated content"
"Robots Directives for Paginated Content","Robots Directives for Paginated Content"
"Select multiple directives to apply to pages with ?p= parameter.","Select multiple directives to apply to pages with ?p= parameter."
"Enable X-Robots-Tag Header","Enable X-Robots-Tag Header"
"If enabled, the X-Robots-Tag header will mirror the robots meta tag directives from the site. If disabled, only the meta tag will be used.","If enabled, the X-Robots-Tag header will mirror the robots meta tag directives from the site. If disabled, only the meta tag will be used."
"X-Robots-Tag HTTP Header Rules","X-Robots-Tag HTTP Header Rules"
"Configure X-Robots-Tag HTTP header per URL pattern. Supports bot-specific directives (e.g., googlebot: noindex).","Configure X-Robots-Tag HTTP header per URL pattern. Supports bot-specific directives (e.g., googlebot: noindex)."
